CustomerID;NameStyle;Title;FirstName;MiddleName;LastName;Suffix;CompanyName;SalesPerson;EmailAddress;Phone
"1";"0";"Mr.";"Orlando";"N.";"Gee";"";"A Bike Store";"adventure-works\pamela0";"orlando0@adventure-works.com";"245-555-0173"
"2";"0";"Mr.";"Keith";"";"Harris";"";"Progressive Sports";"adventure-works\david8";"keith0@adventure-works.com";"170-555-0127"
"3";"0";"Ms.";"Donna";"F.";"Carreras";"";"Advanced Bike Components";"adventure-works\jillian0";"donna0@adventure-works.com";"279-555-0130"
"4";"0";"Ms.";"Janet";"M.";"Gates";"";"Modular Cycle Systems";"adventure-works\jillian0";"janet1@adventure-works.com";"710-555-0173"
"5";"0";"Mr.";"Lucy";"";"Harrington";"";"Metropolitan Sports Supply";"adventure-works\shu0";"lucy0@adventure-works.com";"828-555-0186"
"6";"0";"Ms.";"Rosmarie";"J.";"Carroll";"";"Aerobic Exercise Company";"adventure-works\linda3";"rosmarie0@adventure-works.com";"244-555-0112"
"7";"0";"Mr.";"Dominic";"P.";"Gash";"";"Associated Bikes";"adventure-works\shu0";"dominic0@adventure-works.com";"192-555-0173"
"10";"0";"Ms.";"Kathleen";"M.";"Garza";"";"Rural Cycle Emporium";"adventure-works\josé1";"kathleen0@adventure-works.com";"150-555-0127"
"11";"0";"Ms.";"Katherine";"";"Harding";"";"Sharp Bikes";"adventure-works\josé1";"katherine0@adventure-works.com";"926-555-0159"
"12";"0";"Mr.";"Johnny";"A.";"Caprio";"Jr.";"Bikes and Motorbikes";"adventure-works\garrett1";"johnny0@adventure-works.com";"112-555-0191"
"16";"0";"Mr.";"Christopher";"R.";"Beck";"Jr.";"Bulk Discount Store";"adventure-works\jae0";"christopher1@adventure-works.com";"1 (11) 500 555-0132"
"18";"0";"Mr.";"David";"J.";"Liu";"";"Catalog Store";"adventure-works\michael9";"david20@adventure-works.com";"440-555-0132"
"19";"0";"Mr.";"John";"A.";"Beaver";"";"Center Cycle Shop";"adventure-works\pamela0";"john8@adventure-works.com";"521-555-0195"
"20";"0";"Ms.";"Jean";"P.";"Handley";"";"Central Discount Store";"adventure-works\david8";"jean1@adventure-works.com";"582-555-0113"
"21";"0";"";"Jinghao";"";"Liu";"";"Chic Department Stores";"adventure-works\jillian0";"jinghao1@adventure-works.com";"928-555-0116"
"22";"0";"Ms.";"Linda";"E.";"Burnett";"";"Travel Systems";"adventure-works\jillian0";"linda4@adventure-works.com";"121-555-0121"
"23";"0";"Mr.";"Kerim";"";"Hanif";"";"Bike World";"adventure-works\shu0";"kerim0@adventure-works.com";"216-555-0122"
"24";"0";"Mr.";"Kevin";"";"Liu";"";"Eastside Department Store";"adventure-works\linda3";"kevin5@adventure-works.com";"926-555-0164"
"25";"0";"Mr.";"Donald";"L.";"Blanton";"";"Coalition Bike Company";"adventure-works\shu0";"donald0@adventure-works.com";"357-555-0161"
"28";"0";"Ms.";"Jackie";"E.";"Blackwell";"";"Commuter Bicycle Store";"adventure-works\josé1";"jackie0@adventure-works.com";"972-555-0163"
"29";"0";"Mr.";"Bryan";"";"Hamilton";"";"Cross-Country Riding Supplies";"adventure-works\josé1";"bryan2@adventure-works.com";"344-555-0144"
"30";"0";"Mr.";"Todd";"R.";"Logan";"";"Cycle Merchants";"adventure-works\garrett1";"todd0@adventure-works.com";"783-555-0110"
"34";"0";"Ms.";"Barbara";"J.";"German";"";"Cycles Wholesaler & Mfg.";"adventure-works\jae0";"barbara4@adventure-works.com";"1 (11) 500 555-0181"
"37";"0";"Mr.";"Jim";"";"Geist";"";"Two Bike Shops";"adventure-works\pamela0";"jim1@adventure-works.com";"724-555-0161"
"38";"0";"Ms.";"Betty";"M.";"Haines";"";"Finer Mart";"adventure-works\david8";"betty0@adventure-works.com";"867-555-0114"
"39";"0";"Ms.";"Sharon";"J.";"Looney";"";"Fitness Hotel";"adventure-works\jillian0";"sharon2@adventure-works.com";"377-555-0132"
"40";"0";"Mr.";"Darren";"";"Gehring";"";"Journey Sporting Goods";"adventure-works\jillian0";"darren0@adventure-works.com";"417-555-0182"
"41";"0";"Ms.";"Erin";"M.";"Hagens";"";"Distant Inn";"adventure-works\shu0";"erin1@adventure-works.com";"244-555-0127"
"42";"0";"Mr.";"Jeremy";"";"Los";"";"Healthy Activity Store";"adventure-works\linda3";"jeremy0@adventure-works.com";"911-555-0165"
"43";"0";"Ms.";"Elsa";"";"Leavitt";"";"Frugal Bike Shop";"adventure-works\shu0";"elsa0@adventure-works.com";"482-555-0174"
"46";"0";"Mr.";"David";"O";"Lawrence";"";"Gear-Shift Bikes Limited";"adventure-works\josé1";"david19@adventure-works.com";"653-555-0159"
"47";"0";"Ms.";"Hattie";"J.";"Haemon";"";"Greater Bike Store";"adventure-works\josé1";"hattie0@adventure-works.com";"141-555-0172"
"48";"0";"Ms.";"Anita";"R.";"Lucerne";"";"Grand Industries";"adventure-works\garrett1";"anita0@adventure-works.com";"164-555-0118"
"52";"0";"Ms.";"Rebecca";"";"Laszlo";"";"Instruments and Parts Company";"adventure-works\jae0";"rebecca2@adventure-works.com";"1 (11) 500 555-0155"
"55";"0";"Mr.";"Eric";"";"Lang";"";"Kickstands and Accessories Company";"adventure-works\pamela0";"eric6@adventure-works.com";"932-555-0163"
"56";"0";"Mr.";"Brian";"";"Groth";"";"Latest Accessories Sales";"adventure-works\david8";"brian5@adventure-works.com";"461-555-0118"
"57";"0";"Ms.";"Judy";"R.";"Lundahl";"";"Leading Sales & Repair";"adventure-works\jillian0";"judy1@adventure-works.com";"260-555-0130"
"58";"0";"Mr.";"Peter";"";"Kurniawan";"";"Largest Bike Store";"adventure-works\jillian0";"peter4@adventure-works.com";"436-555-0160"
"59";"0";"Mr.";"Douglas";"";"Groncki";"";"Locks Company";"adventure-works\shu0";"douglas2@adventure-works.com";"385-555-0140"
"60";"0";"Mr.";"Sean";"J.";"Lunt";"";"Main Bicycle Services";"adventure-works\linda3";"sean4@adventure-works.com";"183-555-0111"
"61";"0";"Mr.";"Jeffrey";"";"Kurtz";"";"Many Bikes Store";"adventure-works\shu0";"jeffrey3@adventure-works.com";"452-555-0179"
"64";"0";"Mr.";"Vamsi";"";"Kuppa";"";"Metal Clearing House";"adventure-works\josé1";"vamsi1@adventure-works.com";"290-555-0196"
"65";"0";"Ms.";"Jane";"P.";"Greer";"";"Metro Manufacturing";"adventure-works\josé1";"jane2@adventure-works.com";"737-555-0163"
"66";"0";"Mr.";"Alexander";"J.";"Deborde";"";"Neighborhood Store";"adventure-works\garrett1";"alexander1@adventure-works.com";"394-555-0176"
"70";"0";"Mr.";"Deepak";"";"Kumar";"";"Outdoor Aerobic Systems Company";"adventure-works\jae0";"deepak0@adventure-works.com";"1 (11) 500 555-0122"
"73";"0";"Ms.";"Margaret";"T.";"Krupka";"";"Outdoor Sports Supply";"adventure-works\pamela0";"margaret1@adventure-works.com";"107-555-0132"
